id_collection,name_collection
0,No Collection
86224,The Saint Collection
96665,Dumb And Dumber Collection
98513,Behind Enemy Lines Collection
296872,See No Evil Collection
96472,Brother Bear Collection
8581,A Nightmare On Elm Street Collection
108804,Outpost Collection
124951,Mannequin Collection
153010,Beauty And The Beast Collection
144689,Honey Collection
43220,National Lampoon’S Van Wilder Collection
404111,100 Girls Collection
215606,Seven Dwarfs Collection
93220,Miss Congeniality Collection
131295,Captain America Collection
300431,Lucky Stars Collection
85946,District 13 Collection
19262,Trapped In The Closet
476071,No Collection
276838,When A Stranger Calls Collection
86486,Spy Kids Collection
115838,Escape From ... Collection
397842,The Amityville Horror Collection
121195,9½ Weeks Collection
98430,Feast Collection
467577,Evil Bong Collection
118657,Annika Bengtzon Collection
306063,Saints And Soldiers Collection
10893,Critters Collection
174245,Alien Nation Collection
131635,The Hunger Games Collection
98853,Cyborg Collection
224976,Road House Collection
99727,Stuart Little Collection
131292,Iron Man Collection
420,The Chronicles Of Narnia Collection
33085,The Little Mermaid Collection
423173,Bad Santa Collection
439053,Brooklyn Cigar Store Collection
104774,Tomtar Och Trolltyg Collection
9338,Police Academy Collection
124935,The Lawnmower Man Collection
325798,Star Crash Collection
180019,V: The Collection
43063,Half Past Dead Collection
176118,The Are We Collection
17368,The Sisterhood Of The Traveling Pants Collection
89137,How To Train Your Dragon Collection
2150,Shrek Collection
10194,Toy Story Collection
131296,Thor Collection
256377,The Muppet Collection
10924,From Dusk Till Dawn Collection
43072,The Mask Collection
9887,Species Collection
105322,Kickboxer Collection
101646,Vares Collection
9735,Friday The 13Th Collection
34055,Pokémon Collection
125574,The Amazing Spider-Man Collection
104068,Tales Of The Four Seasons
109592,No Collection
192541,The Twins Effect Collection
238448,Les Ripoux - Trilogie
184977,Shaolin Temple Collection
422834,Ant-Man Collection
52760,Urban Legend
86112,Vacancy Collection
89264,Romancing The Stone Collection
10522,Starship Troopers Collection
10453,Poltergeist Collection
312882,Pierino - Serie Ufficiale
14563,The Ring Collection
86024,Legally Blonde Collection
86307,Cocoon Collection
261590,Living Dead Collection
97460,Lady And The Tramp Collection
109609,The Fly Collection
88735,K-9 Collection
135489,Wishmaster Collection
52888,The Visitors Collection
11794,Ginger Snaps Collection
10713,Universal Soldier Collection
243811,Paradise Trilogy
133830,Star Wars: The Ewok Adventures Collection
8783,Fievel Collection
264335,The Eye Collection
95664,Deuce Bigalow Collection
74083,Flodder Collection
10709,The Mighty Ducks Collection
43563,Friday Collection
168880,Beethoven Collection
181502,Screwballs Collection
385650,The Spiritual Boxer Collection
76291,Simon Brenner Collection
9500,Werner Collection
169452,Dragonheart Collection
124916,101 Dalmatians (Live-Action) Collection
268014,The Big Bottom Box
86116,Death Race Collection
232844,No Collection
8580,The Karate Kid Collection
381396,Bats Collection
264,Back To The Future Collection
105075,The Shadow Collection
91697,Battlestar Galactica (Reboot) Collection
155474,French Connection Collection
10517,Le Gendarme De St. Tropez Collection
385717,Thermae Romae Collection
114374,Fist Of The North Star: The Legends Of The True Savior
14740,Madagascar Collection
102322,Sherlock Holmes Collection
136214,Pocahontas Collection
97456,The Hunchback Of Notre Dame Collection
9436,The Crow Collection
116661,The Arrival Collection
255478,No Collection
159616,East Is East Collection
246839,Center Stage Collection
189157,Love In A... Collection
277739,"Heaven, Hell And Purgatory Collection"
119674,Psycho Collection
115822,Dracula 2000 Collection
167552,Lemon Popsicle Collection
10455,No Collection
8647,The Skulls Collection
