id_movie,id_production_companies
100,1224
10000,22285
10001,290
100010,0
100017,23770
10002,14275
100024,1931
10003,5346
100032,49933
100033,0
10004,38015
100042,11796
100046,6
10005,20366
100057,9217
10006,5358
100061,0
100063,10784
10007,559
10008,519
100085,8797
100086,5358
100088,5
100089,1950
10009,0
10010,14620
10011,306
100110,5120
10012,0
100122,26773
10013,76529
10014,10100
10015,126
100152,33
10016,11556
100167,11999
10017,5798
100179,1394
10018,250
100183,48698
100185,35124
10019,2452
100196,15913
10020,22106
10021,76917
100215,73337
10022,0
100224,2226
10023,6314
10024,2989
100241,75458
100243,35831
100246,88753
100247,288
10025,0
100250,9266
100257,22847
10027,235
100270,5358
100271,2592
100272,641
100274,27863
100275,0
10028,3166
100287,6194
100288,8222
10029,73998
100292,2949
10030,38582
10032,4
10033,79218
10034,13309
100341,0
10035,4762
100351,23
10036,5253
10037,86116
10040,6194
100402,10881
100409,882
10041,2964
100416,0
100420,0
10044,172
10045,2029
100450,1115
10046,73852
100461,12389
100468,688
10047,28205
10048,58
10049,4
100490,559
100493,62072
10050,2564
10051,47534
10052,6194
100526,1557
100528,12625
100529,77645
10053,73898
100532,676
10054,2514
100540,46132
100544,467
10055,8789
10056,2645
100568,63520
10057,0
100592,0
100594,57208
10060,2483
100605,3324
10061,0
10063,6194
100632,18718
100634,72749
10064,119
10065,8411
100656,1354
10066,10744
100661,444
100669,17071
10067,21404
100671,5109
10068,1
100681,21303
100683,26206
10069,35
10070,33
10071,201
10072,0
10073,688
10074,945
100747,1403
10075,10427
10077,11793
100770,2070
100776,39060
10078,3916
100784,10201
100791,13786
100794,0
10081,6431
100812,306
100813,4
100814,884
100825,824
100829,7541
10083,21126
100830,18626
10085,34780
10086,1598
10087,10845
100888,9209
10089,27095
100894,1565
100898,32598
10090,0
100910,6782
100914,11647
10092,6735
100923,4082
10093,307
10094,0
10096,93566
10097,12835
100973,9152
100975,7302
10098,9195
101,51852
101006,14861
10102,4
101024,16432
101029,10104
10103,52059
101030,0
10105,6194
101056,0
10107,31832
10109,248
10110,33
10111,5870
10112,3495
101124,78339
101125,66512
101135,924
10115,11776
10116,691
10117,183
101173,10878
101176,95283
101179,6586
10118,0
101183,19037
101185,57611
10119,33
101190,20915
10120,5120
101206,4811
101217,5267
10122,61506
101226,3921
101230,813
101231,57720
10124,22951
101242,0
10125,12093
10126,0
101267,1295
10127,10209
10128,0
101281,37065
101288,0
101289,42346
10129,559
101293,0
101297,27
101299,22949
10130,7981
101307,5488
101308,3719
10131,264
10132,6194
101320,42121
101325,3346
10133,2328
101330,0
101338,3612
10134,3803
101342,0
