id_movie,id_production_countries
100,GB
10000,CO
10000,FR
10000,IT
10001,AU
100010,US
100017,DE
10002,GB
100024,US
100024,CA
10003,US
100032,US
100033,JP
10004,US
100042,US
100046,none
10005,US
100057,US
10006,US
100061,PK
100061,AU
100063,US
10007,US
10008,GB
10008,US
100085,none
100086,FR
100086,DE
100086,PK
100088,GB
100088,US
100089,US
10009,US
10010,US
10011,US
100110,US
10012,DE
10012,US
100122,none
10013,US
10014,US
10015,US
100152,none
10016,US
100167,GB
100167,US
10017,US
10017,CA
100179,none
10018,DE
100183,GB
100185,none
10019,US
100196,none
10020,US
10021,US
100215,HU
10022,CA
10022,US
100224,DE
10023,US
10024,US
100241,US
100241,AU
100243,DE
100246,US
100247,US
10025,US
100250,none
100257,GB
10027,FR
10027,GB
10027,US
100270,ES
100271,JP
100272,GB
100274,CA
100275,CA
100275,DK
10028,US
100287,none
100288,none
10029,US
100292,none
10030,CA
10030,US
10032,US
10033,CA
10033,DE
10033,US
10034,GB
10034,US
100341,none
10035,US
100351,US
10036,DE
10037,US
10040,US
100402,US
100409,none
10041,GB
100416,US
100420,US
10044,HK
10045,FR
100450,none
10046,GB
10046,MX
10046,FR
100461,JP
100468,IT
10047,FR
10048,US
10049,GB
10049,US
10049,RO
100490,US
100493,US
10050,US
10051,FR
10052,US
10052,DE
100526,US
100528,US
100529,US
10053,US
100532,none
10054,US
100540,US
100544,US
10055,US
10056,US
100568,none
10057,AT
10057,US
100592,CZ
100594,FI
10060,US
100605,none
10061,US
10063,ZA
10063,DE
10063,US
100632,US
100634,none
10064,US
10065,US
100656,GB
10066,US
100661,US
100661,PH
100669,US
10067,US
100671,US
10068,US
100681,none
100683,US
10069,US
10070,US
10071,US
10072,US
10073,US
10073,CH
10074,US
100747,US
10075,RO
10075,DE
10075,GB
10075,US
10077,CZ
10077,DE
10077,GB
10077,US
100770,GB
100776,none
10078,GB
100784,RU
100784,FR
100791,RU
100794,IT
10081,US
100812,IT
100813,none
100814,US
100825,none
100829,none
10083,US
100830,FR
10085,US
10086,BE
10087,FR
10087,GB
100888,none
10089,US
100894,US
100898,BE
10090,US
100910,US
100914,none
10092,US
100923,JP
10093,US
10094,AU
10094,FR
10094,GB
10094,US
10096,US
10097,IE
100973,SE
100975,US
10098,US
101,FR
101,US
101006,DE
101006,NL
101006,ES
101006,FR
101006,AR
10102,FR
10102,IT
101024,HK
101029,US
10103,KR
101030,US
10105,US
101056,US
10107,US
10109,HK
10110,US
10111,GB
10112,US
101124,US
101125,none
101135,US
10115,DE
10115,US
10116,JP
10117,US
101173,IT
101173,CS
101173,US
101176,US
101176,IT
101179,GB
10118,US
101183,IT
101183,FR
101185,none
10119,NO
101190,PL
10120,CA
101206,US
101217,none
10122,US
101226,US
101230,none
101231,IT
10124,CA
101242,US
10125,HR
10126,US
101267,US
10127,US
10128,US
101281,US
101288,US
101289,US
10129,DE
101293,none
101297,US
101299,US
10130,US
101307,US
101308,US
10131,US
10132,CA
10132,US
101320,none
101325,US
10133,US
101330,FR
101330,CH
101338,none
10134,US
101342,PT
101342,FR
10135,US
101352,FR
101352,IR
10136,US
101362,PL
101363,none
10137,DE
10137,US
101376,SE
10138,US
101382,JP
101383,none
10139,US
10140,US
10141,US
10142,TH
10142,US
101420,none
101422,US
10144,US
101444,IT
101449,US
10145,US
10146,DE
10147,DE
10147,US
101482,US
10149,DE
10149,JP
10149,US
10150,DE
10150,GB
10150,JP
10150,US
101501,US
101503,US
10151,CH
10151,AT
101514,none
101519,GB
10152,US
101520,CA
10153,US
101538,US
10154,GB
10154,US
10155,FR
10155,US
101553,ES
101553,IT
101557,US
10156,US
101566,none
10157,US
10158,US
10159,US
101598,US
10160,US
101609,none
10161,GB
10161,IE
10162,GB
10162,US
10162,FR
10163,GB
10163,JP
10163,US
10164,US
10165,US
101652,IT
101653,US
10166,GB
10166,US
101660,US
101665,JP
101669,US
10167,DE
10167,US
10168,US
10169,US
10170,US
10171,DE
10171,FR
10171,GB
10171,GR
101715,none
10172,US
101724,US
10173,US
101731,US
101733,JP
10174,US
101740,JP
101752,JP
10176,NZ
101766,KR
10177,GB
101772,CH
10178,US
101783,IN
10179,US
101791,GB
1018,US
1018,FR
10180,DK
101801,CZ
101803,none
101806,US
101818,none
10183,US
101838,FI
101838,SE
101838,GB
101838,ES
10184,DE
10184,US
10184,NL
10185,US
101852,US
101858,US
10186,US
101860,none
10187,US
10188,US
101887,US
10189,US
101897,none
10190,US
101904,FR
101908,CN
10191,US
101915,GB
101915,US
101916,none
101917,NL
10192,US
101929,JP
10193,US
10195,US
101956,US
10196,US
101965,JP
101968,CA
10197,US
10197,IT
10198,US
10199,GB
10199,US
101995,none
101998,CA
101998,FR
102,DK
10200,CA
10200,US
102000,FR
102000,CH
102001,JP
102001,FR
10201,US
102016,none
10202,US
102024,none
102032,US
102038,US
102039,none
10204,DE
10204,IE
10204,GB
10204,US
102041,US
10205,US
10205,AT
10205,DE
102051,US
102053,US
102057,US
102059,US
10206,US
10207,US
102078,US
10208,US
102081,GB
10209,GB
10209,FR
102091,US
10210,IT
10210,US
10210,GB
10212,CZ
10212,GB
10212,US
10213,US
10214,DE
10214,US
102144,US
10215,GB
10215,US
102155,US
10216,US
102161,US
102165,US
10217,CA
10218,US
10219,US
102195,US
102197,RU
102198,none
10220,US
102207,FR
10222,US
102222,US
102227,JP
10223,US
102234,FI
102242,US
10225,US
10226,FR
10227,FR
10227,IT
102272,DE
10228,JP
10228,US
102286,none
102288,US
102289,US
10229,US
102292,FR
102295,US
1023,DK
1023,DE
102304,US
102305,US
10232,CH
10232,DE
102331,IL
102337,FR
102337,GB
102337,BA
10234,AT
10235,RU
10236,US
102362,US
102363,RU
102368,none
10237,US
10238,SE
102382,US
102384,US
10239,FR
1024,NZ
102406,none
10241,FR
102410,none
102419,GB
10242,US
102420,US
102428,ES
10243,US
102431,CA
102431,GB
102431,US
10244,DE
102444,CA
10246,US
10246,CA
102461,FR
10247,US
10248,CH
102488,US
102489,FR
102489,ES
10249,US
10251,CA
102517,none
102524,IT
102526,US
102527,FI
10253,KR
102533,FR
102533,BE
102533,IS
102534,none
10254,TH
102541,US
10257,HK
10258,US
102596,none
102597,US
10260,FR
10261,US
102622,US
102629,US
10263,US
102630,US
102632,IN
102639,US
10264,FR
10264,GB
10264,US
102640,US
10265,KR
102651,US
102668,none
10268,FR
10269,US
10269,GB
102691,DE
102691,US
102699,US
10270,DE
102707,none
10271,FR
10272,US
102732,none
10274,US
102743,none
10275,HK
10276,US
10278,US
102780,IE
102780,GB
102780,US
102784,BR
10279,US
10280,US
102807,none
102809,CN
10281,US
102812,US
102814,none
10283,US
102831,none
102841,US
10285,US
102851,none
102855,US
102858,none
102860,BR
102862,none
102867,US
102870,GR
