id_production_companies,name_production_companies
1224,Intrepid Pictures
22285,Mimosa Films
290,Ingenious Media
0,No Company
23770,Signature Entertainment
14275,Raymond Productions
1931,Filmové Studio Barrandov
5346,Applause Pictures
49933,Montefiore Films
38015,Busted Tranny
11796,Centre Du Cinéma Et De L'Audiovisuel De La Fédération Wallonie-Bruxelles
6,Rko Radio Pictures
20366,Gimages Développement
9217,Pioneer Pictures
5358,Canal+
10784,Cerito Films
559,Tristar Pictures
519,11:11 Mediaworks
8797,Storyline Entertainment
5,Columbia Pictures
1950,New World Pictures
14620,Gosteleradio
306,Twentieth Century Fox Film Corporation
5120,Mosfilm
26773,J&J Jakubisko Film
76529,Cinema City & Films Co.
10100,Thin Man Films
126,Lakeshore Entertainment
33,Universal Pictures
11556,Mirae Asset Capital
11999,Universidad Del Cine
5798,Shaw Brothers
1394,Black Forest Films
250,Canal+Polska
48698,National Aeronautics And Space Administration (Nasa)
35124,Lyca Productions
2452,Uk Film Council
15913,Associated British Picture Corporation (Abpc)
22106,Widget Films
76917,Maymon Film Inc.
73337,Aloha Pictures
2226,Media 8 Entertainment
6314,The Catalina Production Group
2989,Departure Entertainment
75458,Sfp Cinema
35831,Shaboo Arts
88753,Yermoliev
288,Bbc Films
9266,American International Pictures (Aip)
22847,International Film Corporation
235,Nordisk Film
2592,Albatros Produktion
641,Titanus
27863,Hodgee Films
3166,Walt Disney Productions
6194,Warner Bros.
8222,Nordisk Tonefilm
73998,Golden Port Productions Ltd.
2949,Renegade Worldwide
38582,Geetha Arts
4,Paramount Pictures
79218,Puvisate Ltd.
13309,Jack Rollins & Charles H. Joffe Productions
4762,Bbc Wales
23,Imagine Entertainment
5253,Nbc Productions
86116,Undisputed Cinema
10881,Bernd Eichinger Productions
882,Toho Company
2964,Sidney Lumet Film Productions
172,Npv Entertainment
2029,Estudios Picasso
1115,M6 Films
73852,Kordes & Kordes Film Gmbh
12389,Les Films Pelléas
688,Rankin/Bass Productions
28205,"Samuel Goldwyn Company, The"
58,Sony Pictures Classics
62072,Polar Entertainment Corporation
2564,Ciné@
47534,Polish Corporation For Film Production
1557,The Mark Gordon Company
12625,Canal+ Espana
77645,The Lego Group
73898,Cinergi
676,Monarchy Enterprises B.V.
2514,Alliance Films
46132,Sgl Entertainment
467,Renaissance Pictures
8789,Fuzzy Door Productions
2645,Guy Walks Into A Bar Productions
63520,Sony Pictures International
57208,3 Generations
2483,Laurel Entertainment
3324,British Broadcasting Corporation (Bbc)
18718,Atlântida Cinematográfica
72749,Naked City Films
119,Danmarks Radio (Dr)
8411,Metro-Goldwyn-Mayer (Mgm)
1354,Fénix Cooperativa Cinematográfica
10744,Realies
444,Dune Entertainment
17071,Lewis Motion Picture Enterprisee
21404,Zdf
